,Game,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Developer,ESRB Rating,Composer,Composer Birthday,Composer Rank,Composer Rating,VGMDB Soundtrack Rating,VGMDB Soundtrack Popularity,mp3 Downloads Rank
17,Super Mario World,GBA,2001,Platform,Nintendo,,,,,Mark Mothersbaugh,1950-05-18,,,4.6,0.3681,3.0
18,Super Mario World,GBA,2001,Platform,Nintendo,,,,,Mark Mothersbaugh,1950-05-18,,,4.6,0.3681,621.0
19,Super Mario World,GBA,2001,Platform,Nintendo,,,,,Mark Mothersbaugh,1950-05-18,,,4.6,0.3681,800.0
20,Super Mario Land,GB,1989,Platform,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,4.18,0.2287,406.0
21,Call Of Duty: Black Ops Ii,PS3,2012,Shooter,Activision,83.0,5.3,Treyarch,M,Trent Reznor,1965-05-17,,,,,160.0
22,Call Of Duty: Black Ops Ii,X360,2012,Shooter,Activision,83.0,4.8,Treyarch,M,Trent Reznor,1965-05-17,,,,,160.0
23,Call Of Duty: Black Ops Ii,PC,2012,Shooter,Activision,74.0,4.2,Treyarch,M,Trent Reznor,1965-05-17,,,,,160.0
24,Call Of Duty: Black Ops Ii,WiiU,2012,Shooter,Activision,81.0,6.9,Treyarch,M,Trent Reznor,1965-05-17,,,,,160.0
25,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94.0,7.8,Bungie Software, Bungie,Alex Seropian,,,,3.48,0.0663,
26,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94.0,7.8,Bungie Software, Bungie,Alex Seropian,,,,3.43,0.1105,
27,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94.0,7.8,Bungie Software, Bungie,Martin O'Donnell,1955-05-01,10207.0,3.47,3.48,0.0663,
28,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94.0,7.8,Bungie Software, Bungie,Martin O'Donnell,1955-05-01,10207.0,3.47,3.43,0.1105,
29,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94.0,7.8,Bungie Software, Bungie,Michael Salvatori,,10180.0,3.5,3.48,0.0663,
30,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94.0,7.8,Bungie Software, Bungie,Michael Salvatori,,10180.0,3.5,3.43,0.1105,
31,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91.0,7.9,Bungie,M,Alex Seropian,,,,3.92,0.0877,
32,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91.0,7.9,Bungie,M,Martin O'Donnell,1955-05-01,10207.0,3.47,3.92,0.0877,
33,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91.0,7.9,Bungie,M,Michael Salvatori,,10180.0,3.5,3.92,0.0877,
34,Minecraft,X360,2013,Misc,Microsoft Game Studios,,,,,C418,1989-05-09,,,3.47,0.0612,4.0
35,Minecraft,X360,2013,Misc,Microsoft Game Studios,,,,,Laura Shigihara,,4117.0,4.23,3.47,0.0612,4.0
36,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,,,,,C418,1989-05-09,,,3.47,0.0612,4.0
37,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,,,,,Laura Shigihara,,4117.0,4.23,3.47,0.0612,4.0
38,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,,,,,C418,1989-05-09,,,3.47,0.0612,4.0
39,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,,,,,Laura Shigihara,,4117.0,4.23,3.47,0.0612,4.0
40,Minecraft,XOne,2014,Misc,Microsoft Game Studios,,,,,C418,1989-05-09,,,3.47,0.0612,4.0
41,Minecraft,XOne,2014,Misc,Microsoft Game Studios,,,,,Laura Shigihara,,4117.0,4.23,3.47,0.0612,4.0
42,Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,,,,,C418,1989-05-09,,,3.47,0.0612,4.0
43,Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,,,,,Laura Shigihara,,4117.0,4.23,3.47,0.0612,4.0
44,Minecraft,WiiU,2016,Misc,Microsoft Game Studios,,,,,C418,1989-05-09,,,3.47,0.0612,4.0
45,Minecraft,WiiU,2016,Misc,Microsoft Game Studios,,,,,Laura Shigihara,,4117.0,4.23,3.47,0.0612,4.0
46,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96.0,8.4,Bethesda Game Studios,M,Alexander Brandon,1974-09-29,6662.0,4.08,4.06,0.1937,
47,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96.0,8.4,Bethesda Game Studios,M,Jeremy Soule,1975-12-19,9023.0,3.86,4.06,0.1937,
48,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92.0,6.4,Bethesda Game Studios,M,Alexander Brandon,1974-09-29,6662.0,4.08,4.06,0.1937,
49,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92.0,6.4,Bethesda Game Studios,M,Jeremy Soule,1975-12-19,9023.0,3.86,4.06,0.1937,
50,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,94.0,8.1,Bethesda Game Studios,M,Alexander Brandon,1974-09-29,6662.0,4.08,4.06,0.1937,
51,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,94.0,8.1,Bethesda Game Studios,M,Jeremy Soule,1975-12-19,9023.0,3.86,4.06,0.1937,
52,The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,,,,,Alexander Brandon,1974-09-29,6662.0,4.08,4.06,0.1937,
53,The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,,,,,Jeremy Soule,1975-12-19,9023.0,3.86,4.06,0.1937,
54,The Elder Scrolls V: Skyrim,XOne,2016,Role-Playing,Bethesda Softworks,,,,,Alexander Brandon,1974-09-29,6662.0,4.08,4.06,0.1937,
55,The Elder Scrolls V: Skyrim,XOne,2016,Role-Playing,Bethesda Softworks,,,,,Jeremy Soule,1975-12-19,9023.0,3.86,4.06,0.1937,
56,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95.0,8.2,Bungie Software,M,Alex Seropian,,,,3.39,0.0707,
57,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95.0,8.2,Bungie Software,M,Alex Seropian,,,,3.31,0.0787,
58,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95.0,8.2,Bungie Software,M,Martin O'Donnell,1955-05-01,10207.0,3.47,3.39,0.0707,
59,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95.0,8.2,Bungie Software,M,Martin O'Donnell,1955-05-01,10207.0,3.47,3.31,0.0787,
60,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95.0,8.2,Bungie Software,M,Michael Salvatori,,10180.0,3.5,3.39,0.0707,
61,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95.0,8.2,Bungie Software,M,Michael Salvatori,,10180.0,3.5,3.31,0.0787,
62,Halo 2,PC,2007,Shooter,Microsoft Game Studios,72.0,5.6,Microsoft Game Studios,M,Alex Seropian,,,,3.39,0.0707,
63,Halo 2,PC,2007,Shooter,Microsoft Game Studios,72.0,5.6,Microsoft Game Studios,M,Alex Seropian,,,,3.31,0.0787,
64,Halo 2,PC,2007,Shooter,Microsoft Game Studios,72.0,5.6,Microsoft Game Studios,M,Martin O'Donnell,1955-05-01,10207.0,3.47,3.39,0.0707,
65,Halo 2,PC,2007,Shooter,Microsoft Game Studios,72.0,5.6,Microsoft Game Studios,M,Martin O'Donnell,1955-05-01,10207.0,3.47,3.31,0.0787,
66,Halo 2,PC,2007,Shooter,Microsoft Game Studios,72.0,5.6,Microsoft Game Studios,M,Michael Salvatori,,10180.0,3.5,3.39,0.0707,
67,Halo 2,PC,2007,Shooter,Microsoft Game Studios,72.0,5.6,Microsoft Game Studios,M,Michael Salvatori,,10180.0,3.5,3.31,0.0787,
68,The Sims 3,PC,2009,Simulation,Electronic Arts,86.0,7.6,The Sims Studio,T,Jerry Martin,,5928.0,4.13,,,928.0
69,The Sims 3,X360,2010,Simulation,Electronic Arts,76.0,7.1,The Sims Studio,T,Jerry Martin,,5928.0,4.13,,,928.0
70,The Sims 3,PS3,2010,Simulation,Electronic Arts,78.0,6.4,The Sims Studio,T,Jerry Martin,,5928.0,4.13,,,928.0
71,The Sims 3,Wii,2010,Simulation,Electronic Arts,,2.5,The Sims Studio,T,Jerry Martin,,5928.0,4.13,,,928.0
72,The Sims 3,3DS,2011,Simulation,Electronic Arts,52.0,3.3,EA Games,T,Jerry Martin,,5928.0,4.13,,,928.0
73,The Sims 3,DS,2010,Simulation,Electronic Arts,73.0,6.4,Exient Entertainment,E,Jerry Martin,,5928.0,4.13,,,928.0
74,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,,,,,Mutato Muzika,,,,,,437.0
75,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,96.0,9.1,Namco,T,Yuu Miyake,1973-11-19,7946.0,3.99,3.89,0.1357,96.0
76,The Legend Of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,95.0,9,Nintendo,T,Michiru Oshima,1961-03-16,7193.0,4.05,3.26,0.1128,
77,The Legend Of Zelda: Twilight Princess,GC,2006,Action,Nintendo,96.0,9.2,Nintendo,T,Michiru Oshima,1961-03-16,7193.0,4.05,3.26,0.1128,
78,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,91.0,8.9,Naughty Dog,E,Mutato Muzika,,,,,,342.0
79,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Kazumi Totaka,1967-08-23,6777.0,4.07,4.78,0.2206,29.0
80,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Kazumi Totaka,1967-08-23,6777.0,4.07,4.78,0.2206,405.0
81,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Kazumi Totaka,1967-08-23,6777.0,4.07,4.78,0.2206,983.0
82,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Koji Kondo,1961-08-13,7399.0,4.03,4.78,0.2206,29.0
83,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Koji Kondo,1961-08-13,7399.0,4.03,4.78,0.2206,405.0
84,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Koji Kondo,1961-08-13,7399.0,4.03,4.78,0.2206,983.0
85,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Toru Minegishi,,7475.0,4.03,4.78,0.2206,29.0
86,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Toru Minegishi,,7475.0,4.03,4.78,0.2206,405.0
87,Mario Kart 8,WiiU,2014,Racing,Nintendo,88.0,9.1,Nintendo,E,Toru Minegishi,,7475.0,4.03,4.78,0.2206,983.0
88,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92.0,9.1,HAL Labs,T,Kazumi Totaka,1967-08-23,6777.0,4.07,,,73.0
89,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92.0,9.1,HAL Labs,T,Kazumi Totaka,1967-08-23,6777.0,4.07,,,648.0
90,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92.0,9.1,HAL Labs,T,Kazumi Totaka,1967-08-23,6777.0,4.07,,,841.0
91,Medal Of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88.0,8.5,EA LA,T,Michael Giacchino,1967-10-10,9008.0,3.86,4.33,0.0627,
92,Medal Of Honor: Frontline,XB,2002,Shooter,Electronic Arts,81.0,6.9,EA LA,T,Michael Giacchino,1967-10-10,9008.0,3.86,4.33,0.0627,
93,Medal Of Honor: Frontline,GC,2002,Shooter,Electronic Arts,80.0,7.9,Dreamworks Games,T,Michael Giacchino,1967-10-10,9008.0,3.86,4.33,0.0627,
94,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,,,,,Mutato Muzika,,,,,,197.0
95,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,92.0,8.3,Naughty Dog,T,Greg Edmonson,,9782.0,3.68,,,373.0
96,The Legend Of Zelda,NES,1986,Action,Nintendo,,,,,Koji Kondo,1961-08-13,7399.0,4.03,4.09,0.2335,
97,The Legend Of Zelda,NES,1986,Action,Nintendo,,,,,Toru Minegishi,,7475.0,4.03,4.09,0.2335,
98,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87.0,8.6,Retro Studios,E,Noriyuki Iwadare,1964-04-28,7123.0,4.05,,,213.0
99,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87.0,8.6,Retro Studios,E,Noriyuki Iwadare,1964-04-28,7123.0,4.05,,,768.0
100,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,,,,,Noriyuki Iwadare,1964-04-28,7123.0,4.05,,,213.0
101,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,,,,,Noriyuki Iwadare,1964-04-28,7123.0,4.05,,,768.0
102,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85.0,8.8,SquareSoft,E,Yoko Shimomura,1967-10-19,6964.0,4.06,3.81,0.0992,17.0
103,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85.0,8.8,SquareSoft,E,Yoko Shimomura,1967-10-19,6964.0,4.06,4.39,0.1126,17.0
104,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85.0,8.8,SquareSoft,E,Yoko Shimomura,1967-10-19,6964.0,4.06,4.16,0.1822,17.0
105,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85.0,8.8,SquareSoft,E,Yoko Shimomura,1967-10-19,6964.0,4.06,3.9,0.2258,17.0
106,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85.0,8.8,SquareSoft,E,Yoko Shimomura,1967-10-19,6964.0,4.06,4.5,0.2299,17.0
107,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85.0,8.8,SquareSoft,E,Yoko Shimomura,1967-10-19,6964.0,4.06,4.16,0.3019,17.0
108,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85.0,8.8,SquareSoft,E,Yoko Shimomura,1967-10-19,6964.0,4.06,4.61,0.4193,17.0
109,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,3.81,0.0992,17.0
110,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,4.39,0.1126,17.0
111,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,4.16,0.1822,17.0
112,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,3.9,0.2258,17.0
113,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,4.5,0.2299,17.0
114,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,4.16,0.3019,17.0
115,Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,4.61,0.4193,17.0
116,Super Mario Sunshine,GC,2002,Platform,Nintendo,92.0,8.6,Nintendo,E,Noriyuki Iwadare,1964-04-28,7123.0,4.05,,,101.0
117,Street Fighter Ii: The World Warrior,SNES,1992,Fighting,Capcom,,,,,Yoko Shimomura,1967-10-19,6964.0,4.06,4.59,0.1836,
118,World Of Warcraft,PC,2004,Role-Playing,Activision,93.0,7.3,Blizzard Entertainment,T,Laura Shigihara,,4117.0,4.23,4.0,0.1167,
119,World Of Warcraft,PC,2004,Role-Playing,Activision,93.0,7.3,Blizzard Entertainment,T,Matt Uelmen,1972-07-31,4317.0,4.22,4.0,0.1167,
120,World Of Warcraft,PC,2004,Role-Playing,Activision,93.0,7.3,Blizzard Entertainment,T,Russell Brower,,9434.0,3.78,4.0,0.1167,
121,Metal Gear Solid 2: Sons Of Liberty,PS2,2001,Action,Konami Digital Entertainment,96.0,8.7,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,4.07,0.1827,185.0
122,Metal Gear Solid 2: Sons Of Liberty,PS2,2001,Action,Konami Digital Entertainment,96.0,8.7,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,4.07,0.1827,533.0
123,Metal Gear Solid 2: Sons Of Liberty,PS2,2001,Action,Konami Digital Entertainment,96.0,8.7,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,3.74,0.2017,185.0
124,Metal Gear Solid 2: Sons Of Liberty,PS2,2001,Action,Konami Digital Entertainment,96.0,8.7,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,3.74,0.2017,533.0
125,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,4.27,0.0788,125.0
126,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,4.27,0.0788,270.0
127,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,4.22,0.4036,125.0
128,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Norihiko Hibino,1973-09-03,7388.0,4.03,4.22,0.4036,270.0
129,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Rika Muranaka,,4174.0,4.23,4.27,0.0788,125.0
130,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Rika Muranaka,,4174.0,4.23,4.27,0.0788,270.0
131,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Rika Muranaka,,4174.0,4.23,4.22,0.4036,125.0
132,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94.0,9.4,KCEJ,M,Rika Muranaka,,4174.0,4.23,4.22,0.4036,270.0
133,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,4.27,0.0788,125.0
134,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,4.27,0.0788,270.0
135,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,4.22,0.4036,125.0
136,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Norihiko Hibino,1973-09-03,7388.0,4.03,4.22,0.4036,270.0
137,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Rika Muranaka,,4174.0,4.23,4.27,0.0788,125.0
138,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Rika Muranaka,,4174.0,4.23,4.27,0.0788,270.0
139,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Rika Muranaka,,4174.0,4.23,4.22,0.4036,125.0
140,Metal Gear Solid,GB,2000,Action,Konami Digital Entertainment,,,,,Rika Muranaka,,4174.0,4.23,4.22,0.4036,270.0
141,Metal Gear Solid 4: Guns Of The Patriots,PS3,2008,Action,Konami Digital Entertainment,94.0,8.7,Kojima Productions,M,Norihiko Hibino,1973-09-03,7388.0,4.03,3.79,0.1841,695.0
142,Metal Gear Solid 4: Guns Of The Patriots,PS3,2008,Action,Konami Digital Entertainment,94.0,8.7,Kojima Productions,M,Takahiro Izutani,,7596.0,4.02,3.79,0.1841,695.0
143,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Hitoshi Sakimoto,1969-02-26,6143.0,4.11,3.67,0.0668,
144,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Hitoshi Sakimoto,1969-02-26,6143.0,4.11,4.54,0.1325,
145,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Hitoshi Sakimoto,1969-02-26,6143.0,4.11,4.33,0.1754,
146,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Hitoshi Sakimoto,1969-02-26,6143.0,4.11,4.41,0.5719,
147,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Kenichiro Fukui,1960-03-04,6980.0,4.06,3.67,0.0668,
148,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Kenichiro Fukui,1960-03-04,6980.0,4.06,4.54,0.1325,
149,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Kenichiro Fukui,1960-03-04,6980.0,4.06,4.33,0.1754,
150,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Kenichiro Fukui,1960-03-04,6980.0,4.06,4.41,0.5719,
151,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Masaharu Iwata,1966-10-26,6417.0,4.1,3.67,0.0668,
152,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Masaharu Iwata,1966-10-26,6417.0,4.1,4.54,0.1325,
153,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Masaharu Iwata,1966-10-26,6417.0,4.1,4.33,0.1754,
154,Final Fantasy Xii,PS2,2006,Role-Playing,Square Enix,92.0,7.6,Square Enix,T,Masaharu Iwata,1966-10-26,6417.0,4.1,4.41,0.5719,
155,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,89.0,8.9,Namco,T,Shinji Hosoe,1967-02-28,8140.0,3.97,,,336.0
156,Destiny,PS4,2014,Shooter,Activision,76.0,6.1,Bungie Software, Bungie,Alex Seropian,,,,,,492.0
157,Destiny,PS4,2014,Shooter,Activision,76.0,6.1,Bungie Software, Bungie,Martin O'Donnell,1955-05-01,10207.0,3.47,,,492.0
158,Destiny,PS4,2014,Shooter,Activision,76.0,6.1,Bungie Software, Bungie,Michael Salvatori,,10180.0,3.5,,,492.0
159,Destiny,XOne,2014,Shooter,Activision,75.0,5.5,Bungie Software, Bungie,Alex Seropian,,,,,,492.0
160,Destiny,XOne,2014,Shooter,Activision,75.0,5.5,Bungie Software, Bungie,Martin O'Donnell,1955-05-01,10207.0,3.47,,,492.0
161,Destiny,XOne,2014,Shooter,Activision,75.0,5.5,Bungie Software, Bungie,Michael Salvatori,,10180.0,3.5,,,492.0
162,Destiny,X360,2014,Shooter,Activision,,4.7,Bungie,T,Alex Seropian,,,,,,492.0
163,Destiny,X360,2014,Shooter,Activision,,4.7,Bungie,T,Martin O'Donnell,1955-05-01,10207.0,3.47,,,492.0
164,Destiny,X360,2014,Shooter,Activision,,4.7,Bungie,T,Michael Salvatori,,10180.0,3.5,,,492.0
165,Destiny,PS3,2014,Shooter,Activision,,4.5,Bungie,T,Alex Seropian,,,,,,492.0
166,Destiny,PS3,2014,Shooter,Activision,,4.5,Bungie,T,Martin O'Donnell,1955-05-01,10207.0,3.47,,,492.0
167,Destiny,PS3,2014,Shooter,Activision,,4.5,Bungie,T,Michael Salvatori,,10180.0,3.5,,,492.0
168,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,64.0
169,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,146.0
170,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,368.0
171,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,411.0
172,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,558.0
173,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,608.0
174,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Hirokazu Tanaka,1957-12-13,6489.0,4.09,,,851.0
175,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,64.0
176,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,146.0
177,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,368.0
178,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,411.0
179,Super Smash Bros.,N64,1999,Fighting,Nintendo,,,,,Junichi Masuda,1968-01-12,5712.0,4.14,,,558.0
