Soundtrack; Composer; Composer Birthday
Wonder Project J2; Akihiko Mori; n/a
Doraemon 2: SOS! Otogi no Kuni; Akihiko Mori; n/a
Pro Wrestling Sengokuden; Akihiko Mori; n/a
Pro Wrestling Sengokuden 2; Akihiko Mori; n/a
Silent Hill; Akira Yamaoka; 1968-02-06
Silent Hill 2; Akira Yamaoka; 1968-02-06
Silent Hill 3; Akira Yamaoka; 1968-02-06
Silent Hill 4: The Room; Akira Yamaoka; 1968-02-06
Origins; Akira Yamaoka; 1968-02-06
Homecoming; Akira Yamaoka; 1968-02-06
Shattered Memories; Akira Yamaoka; 1968-02-06
Downpour; Akira Yamaoka; 1968-02-06
The Arcade; Akira Yamaoka; 1968-02-06
Orphan; Akira Yamaoka; 1968-02-06
The Escape; Akira Yamaoka; 1968-02-06
HD Collection; Akira Yamaoka; 1968-02-06
Book of Memories; Akira Yamaoka; 1968-02-06
P.T.; Akira Yamaoka; 1968-02-06
Silent Hills; Akira Yamaoka; 1968-02-06
Silent Hill: Revelation; Akira Yamaoka; 1968-02-06
Kan'okejima; Aki Hata; 1966-08-13
Sekai Nante Owarinasai; Aki Hata; 1966-08-13
Roman Tsukira no Musumetachi ~BEST SONGS~; Aki Hata; 1966-08-13
Reizoku Kaibi no Musumetachi ~BEST SONGS II~; Aki Hata; 1966-08-13
Aisuru hito yo shinjitsu wa chikawazu ni iyou; Aki Hata; 1966-08-13
Bitsuu no rakuen; Aki Hata; 1966-08-13
Yokan no tenshi wo dakishimete; Aki Hata; 1966-08-13
Bannou ni tagiru ikasama; Aki Hata; 1966-08-13
Dangai no unuboreya; Aki Hata; 1966-08-13
Haikin seija waga machi o susuman; Aki Hata; 1966-08-13
Kobore Sekai Oware; Aki Hata; 1966-08-13
Gen wa Jubaku no Yubi de Naru; Aki Hata; 1966-08-13
Tōhi Oukoku no Metsubō; Aki Hata; 1966-08-13
Tōhi Oukoku no Densetsu; Aki Hata; 1966-08-13
Love Live!; Aki Hata; 1966-08-13
The School Idol Movie; Aki Hata; 1966-08-13
Love Live! Sunshine!!; Aki Hata; 1966-08-13
Love Live! Sunshine!! The School Idol Movie Over The Rainbow; Aki Hata; 1966-08-13
Love Live! School Idol Festival; Aki Hata; 1966-08-13
AtmosphereS: Cultures; Alexander Brandon; 1974-09-29
AtmosphereS: Dreams; Alexander Brandon; 1974-09-29
AtmosphereS: Moods; Alexander Brandon; 1974-09-29
AtmosphereS: Pulses; Alexander Brandon; 1974-09-29
AtmosphereS: Rhythms; Alexander Brandon; 1974-09-29
Era's End; Alexander Brandon; 1974-09-29
Earthscape; Alexander Brandon; 1974-09-29
Violet Eclectic; Alexander Brandon; 1974-09-29
Just Fun; Alexander Brandon; 1974-09-29
Tyrian; Alexander Brandon; 1974-09-29
Tyrian 2000; Alexander Brandon; 1974-09-29
Jazz Jackrabbit 2; Alexander Brandon; 1974-09-29
Jazz Jackrabbit 2 : The Secret Files; Alexander Brandon; 1974-09-29
Jazz Jackrabbit 2 : Holiday Hare 98; Alexander Brandon; 1974-09-29
Jazz Jackrabbit 2 : The Christmas Chronicles; Alexander Brandon; 1974-09-29
Jazz Jackrabbit 3; Alexander Brandon; 1974-09-29
Extreme Pinball; Alexander Brandon; 1974-09-29
Unreal; Alexander Brandon; 1974-09-29
Unreal Mission Pack: Return to Na Pali; Alexander Brandon; 1974-09-29
Unreal Tournament; Alexander Brandon; 1974-09-29
Vigilante 8; Alexander Brandon; 1974-09-29
Vigilante 8: 2nd Offense; Alexander Brandon; 1974-09-29
Dark Vengeance; Alexander Brandon; 1974-09-29
Pretzel Pete; Alexander Brandon; 1974-09-29
NARC; Alexander Brandon; 1974-09-29
Deus Ex; Alexander Brandon; 1974-09-29
Deus Ex: Invisible War; Alexander Brandon; 1974-09-29
Thief: Deadly Shadows; Alexander Brandon; 1974-09-29
Activision Anthology; Alexander Brandon; 1974-09-29
Unreal 2; Alexander Brandon; 1974-09-29
Battlestar Galactica; Alexander Brandon; 1974-09-29
Gauntlet: Seven Sorrows; Alexander Brandon; 1974-09-29
Spy Hunter: Nowhere to Run; Alexander Brandon; 1974-09-29
Hour of Victory; Alexander Brandon; 1974-09-29
TouchMaster; Alexander Brandon; 1974-09-29
Rampage; Alexander Brandon; 1974-09-29
Happy Feet; Alexander Brandon; 1974-09-29
The Ant Bully; Alexander Brandon; 1974-09-29
Marvel Ultimate Alliance; Alexander Brandon; 1974-09-29
Neverwinter Nights 2: Mask of the Betrayer; Alexander Brandon; 1974-09-29
Neverwinter Nights 2: Storm of Zehir; Alexander Brandon; 1974-09-29
Alpha Protocol; Alexander Brandon; 1974-09-29
iSamJackson; Alexander Brandon; 1974-09-29
Aliens: Colonial Marines; Alexander Brandon; 1974-09-29
Bejeweled 3; Alexander Brandon; 1974-09-29
DC Universe Online; Alexander Brandon; 1974-09-29
The Elder Scrolls V: Skyrim; Alexander Brandon; 1974-09-29
Dust: An Elysian Tail; Alexander Brandon; 1974-09-29
Unreal Tournament; Alexander Brandon; 1974-09-29
Voidrunner; Alexander Brandon; 1974-09-29
Wasteland 2; Alexander Brandon; 1974-09-29
Five: Guardians of David; Alexander Brandon; 1974-09-29
Torment: Tides of Numenera; Alexander Brandon; 1974-09-29
Aven Colony; Alexander Brandon; 1974-09-29
Donkey Kong Country: Tropical Freeze; Alexander Brandon; 1974-09-29
Untitled ; Alexander Brandon; 1974-09-29
Retro Studios; Alexander Brandon; 1974-09-29
 Title; Alexander Brandon; 1974-09-29
Unreal; Alexander Brandon; 1974-09-29
II: The Awakening; Alexander Brandon; 1974-09-29
Tournament; Alexander Brandon; 1974-09-29
Tournament 2003; Alexander Brandon; 1974-09-29
Tournament 2004; Alexander Brandon; 1974-09-29
Tournament 3; Alexander Brandon; 1974-09-29
Tournament; Alexander Brandon; 1974-09-29
Championship; Alexander Brandon; 1974-09-29
Championship 2: The Liandri Conflict; Alexander Brandon; 1974-09-29
Destiny; Alex Seropian; n/a
The Taken King; Alex Seropian; n/a
Rise of Iron; Alex Seropian; n/a
Destiny 2; Alex Seropian; n/a
Forsaken; Alex Seropian; n/a
Shadowkeep; Alex Seropian; n/a
Halo: Combat Evolved; Alex Seropian; n/a
Halo 2; Alex Seropian; n/a
Halo 3; Alex Seropian; n/a
Halo 3: ODST; Alex Seropian; n/a
Halo: Reach; Alex Seropian; n/a
Marathon; Alex Seropian; n/a
Marathon 2: Durandal; Alex Seropian; n/a
Marathon Infinity; Alex Seropian; n/a
Myth: The Fallen Lords; Alex Seropian; n/a
Myth II: Soulblighter; Alex Seropian; n/a
Operation: Desert Storm; Alex Seropian; n/a
Minotaur: The Labyrinths of Crete; Alex Seropian; n/a
Pathways into Darkness; Alex Seropian; n/a
Abuse; Alex Seropian; n/a
Oni; Alex Seropian; n/a
Overload; Allister Brimble; 1970-11-29
Transport Fever; Allister Brimble; 1970-11-29
Cartoon Network: Battle Crashers; Allister Brimble; 1970-11-29
Prison Architect; Allister Brimble; 1970-11-29
The Smurfs; Allister Brimble; 1970-11-29
The Smurfs; Allister Brimble; 1970-11-29
Goat Simulator; Allister Brimble; 1970-11-29
Frozen Synapse Prime; Allister Brimble; 1970-11-29
Train Fever; Allister Brimble; 1970-11-29
Teenage Mutant Ninja Turtles; Allister Brimble; 1970-11-29
Bratz Fashion Boutique; Allister Brimble; 1970-11-29
Katsuma Unleashed; Allister Brimble; 1970-11-29
Pro Foosball; Allister Brimble; 1970-11-29
Fluidity: Spin Cycle; Allister Brimble; 1970-11-29
Moshi Monsters: Moshlings Theme Park; Allister Brimble; 1970-11-29
Imagine Fashion World 3D; Allister Brimble; 1970-11-29
Bejeweled 3; Allister Brimble; 1970-11-29
Tofu Collection; Allister Brimble; 1970-11-29
Lets Ride! Best In Breed 3D; Allister Brimble; 1970-11-29
Pets Paradise Resort 3D; Allister Brimble; 1970-11-29
Gogo's Crazy Bones; Allister Brimble; 1970-11-29
Dagedar; Allister Brimble; 1970-11-29
Harry Potter and the Deathly Hallows – Part 2 (video game); Allister Brimble; 1970-11-29
Einstein’s Brain Power; Allister Brimble; 1970-11-29
Hop ; Allister Brimble; 1970-11-29
Fluidity; Allister Brimble; 1970-11-29
SteamWorld Tower Defense; Allister Brimble; 1970-11-29
Sonic & Sega All-Stars Racing; Allister Brimble; 1970-11-29
Bakugan Battle Trainer; Allister Brimble; 1970-11-29
Disney's A Christmas Carol for Nintendo DS; Allister Brimble; 1970-11-29
I`m A Celebrity…Get Me Out Of Here!; Allister Brimble; 1970-11-29
Planet 51; Allister Brimble; 1970-11-29
Petz Pony Beauty Pageant; Allister Brimble; 1970-11-29
Take A Break`s: Puzzle Master; Allister Brimble; 1970-11-29
Overlord: Minions; Allister Brimble; 1970-11-29
Need for Speed: Undercover; Allister Brimble; 1970-11-29
My Pet Pony; Allister Brimble; 1970-11-29
1 vs. 100 (2008 video game); Allister Brimble; 1970-11-29
Mes Gallops 3D; Allister Brimble; 1970-11-29
Lets Play Mum; Allister Brimble; 1970-11-29
Lets Play Shops; Allister Brimble; 1970-11-29
Lets Play Schools; Allister Brimble; 1970-11-29
Football Director DS; Allister Brimble; 1970-11-29
Puzzler Collection; Allister Brimble; 1970-11-29
My Horse & Me 2; Allister Brimble; 1970-11-29
TrackMania Turbo (DS); Allister Brimble; 1970-11-29
Race Driver: Grid; Allister Brimble; 1970-11-29
Fort Boyard. Le Jeu; Allister Brimble; 1970-11-29
Koh-Lanta; Allister Brimble; 1970-11-29
New International Track & Field; Allister Brimble; 1970-11-29
Arctic Tale; Allister Brimble; 1970-11-29
Deviens Miss France; Allister Brimble; 1970-11-29
Code De La Route Edition 2008 ; Allister Brimble; 1970-11-29
Best Of Card Games; Allister Brimble; 1970-11-29
Best Of Board Games; Allister Brimble; 1970-11-29
Backyard Hockey; Allister Brimble; 1970-11-29
Backyard Basketball 2007; Allister Brimble; 1970-11-29
Backyard Baseball; Allister Brimble; 1970-11-29
Clive Barker's Jericho; Allister Brimble; 1970-11-29
My Horse & Me; Allister Brimble; 1970-11-29
Kid Paddle: Blorks Invasion; Allister Brimble; 1970-11-29
Asterix at the Olympic Games (video game); Allister Brimble; 1970-11-29
Di-Gata Defenders; Allister Brimble; 1970-11-29
Dead 'n' Furious; Allister Brimble; 1970-11-29
Arthur and the Invisibles; Allister Brimble; 1970-11-29
Deal or No Deal (video game); Allister Brimble; 1970-11-29
Alex Rider: Stormbreaker; Allister Brimble; 1970-11-29
Garfield and His Nine Lives; Allister Brimble; 1970-11-29
Xiaolin Showdown (video game); Allister Brimble; 1970-11-29
Micro Machines V4; Allister Brimble; 1970-11-29
Dance Factory (video game); Allister Brimble; 1970-11-29
Totally Spies! 2: Undercover; Allister Brimble; 1970-11-29
Family Feud; Allister Brimble; 1970-11-29
Go! Sudoku; Allister Brimble; 1970-11-29
Asterix & Obelix XXL 2: Mission: Las Vegum; Allister Brimble; 1970-11-29
Bionicle: Maze of Shadows; Allister Brimble; 1970-11-29
Noddy a Day In ToyLand; Allister Brimble; 1970-11-29
Duel Masters - Shadow Of The Code; Allister Brimble; 1970-11-29
Retro Atari Classics; Allister Brimble; 1970-11-29
Kid Paddle; Allister Brimble; 1970-11-29
Titeuf Mission Nadia; Allister Brimble; 1970-11-29
Totally Spies!; Allister Brimble; 1970-11-29
Driver 3; Allister Brimble; 1970-11-29
Backyard Basketball 2; Allister Brimble; 1970-11-29
Alien Hominid; Allister Brimble; 1970-11-29
Lego Knights' Kingdom; Allister Brimble; 1970-11-29
Hot Wheels: Stunt Track Challenge; Allister Brimble; 1970-11-29
Need for Speed: Underground 2; Allister Brimble; 1970-11-29
Chris Sawyer's Locomotion; Allister Brimble; 1970-11-29
Titeuf 2; Allister Brimble; 1970-11-29
Duel Masters: Sempai Legends; Allister Brimble; 1970-11-29
Duel Masters: Kaijudo Showdown; Allister Brimble; 1970-11-29
¡Mucha Lucha!; Allister Brimble; 1970-11-29
Sega Arcade Gallery; Allister Brimble; 1970-11-29
Terminator 3: Rise of the Machines (video game); Allister Brimble; 1970-11-29
Stuntman (video game); Allister Brimble; 1970-11-29
Medal of Honor: Infiltrator; Allister Brimble; 1970-11-29
Star Wars: Flight of the Falcon; Allister Brimble; 1970-11-29
Pirates of the Caribbean; Allister Brimble; 1970-11-29
Dr. Muto; Allister Brimble; 1970-11-29
World Touring Car Rally; Allister Brimble; 1970-11-29
Need for Speed: Underground; Allister Brimble; 1970-11-29
He-Man: Power of Grayskull; Allister Brimble; 1970-11-29
Steven Gerrard's Total Soccer; Allister Brimble; 1970-11-29
Star Wars: Episode II – Attack of the Clones; Allister Brimble; 1970-11-29
Fohlen Felix In Gefahr; Allister Brimble; 1970-11-29
Egg Mania: Eggstreme Madness; Allister Brimble; 1970-11-29
V-Rally 3; Allister Brimble; 1970-11-29
RollerCoaster Tycoon 2; Allister Brimble; 1970-11-29
XXX; Allister Brimble; 1970-11-29
Colin McRae Rally 2.0; Allister Brimble; 1970-11-29
High Heat Major League Baseball 2002; Allister Brimble; 1970-11-29
Mr. Nutz; Allister Brimble; 1970-11-29
Robocop; Allister Brimble; 1970-11-29
Planet Monsters; Allister Brimble; 1970-11-29
Gremlins; Allister Brimble; 1970-11-29
Star Wars Episode I: Jedi Power Battles; Allister Brimble; 1970-11-29
DOOM; Allister Brimble; 1970-11-29
The Italian Job; Allister Brimble; 1970-11-29
Superman; Allister Brimble; 1970-11-29
Titeuf; Allister Brimble; 1970-11-29
Colin McRae Rally; Allister Brimble; 1970-11-29
Hot Potato; Allister Brimble; 1970-11-29
Tony Hawk's Pro Skater 3; Allister Brimble; 1970-11-29
Mat Hoffman's Pro BMX; Allister Brimble; 1970-11-29
Extreme Ghostbusters; Allister Brimble; 1970-11-29
102 Dalmatians: Puppies to the Rescue; Allister Brimble; 1970-11-29
007 Racing; Allister Brimble; 1970-11-29
Chicken Run; Allister Brimble; 1970-11-29
The Dukes of Hazzard; Allister Brimble; 1970-11-29
Cool Bricks; Allister Brimble; 1970-11-29
Toobin'; Allister Brimble; 1970-11-29
HydroSport Racing; Allister Brimble; 1970-11-29
Driver 2; Allister Brimble; 1970-11-29
The Flintstones: Burgertime in Bedrock; Allister Brimble; 1970-11-29
Road Rash; Allister Brimble; 1970-11-29
Olympics 2000; Allister Brimble; 1970-11-29
Jimmy White's 2: Cueball; Allister Brimble; 1970-11-29
Carmageddon; Allister Brimble; 1970-11-29
Renegade Racers; Allister Brimble; 1970-11-29
Lucky Luke; Allister Brimble; 1970-11-29
Rat Attack!; Allister Brimble; 1970-11-29
Casper; Allister Brimble; 1970-11-29
Driver; Allister Brimble; 1970-11-29
RollerCoaster Tycoon; Allister Brimble; 1970-11-29
Magical Drop; Allister Brimble; 1970-11-29
Abomination: The Nemesis Project; Allister Brimble; 1970-11-29
Cutthroats: Terror on the High Seas; Allister Brimble; 1970-11-29
Gangsters: Organized Crime; Allister Brimble; 1970-11-29
Ghosts 'n Goblins; Allister Brimble; 1970-11-29
Three Lions; Allister Brimble; 1970-11-29
Glover; Allister Brimble; 1970-11-29
Bubble Bubble 2; Allister Brimble; 1970-11-29
Monster Trucks; Allister Brimble; 1970-11-29
Toy Story; Allister Brimble; 1970-11-29
Descent II; Allister Brimble; 1970-11-29
Wrath Of Earth; Allister Brimble; 1970-11-29
Grand Prix Manager 2; Allister Brimble; 1970-11-29
X-COM: Terror from the Deep; Allister Brimble; 1970-11-29
Crazy Bus; Allister Brimble; 1970-11-29
Zeewolf 2: Wild Justice; Allister Brimble; 1970-11-29
Pinocchio; Allister Brimble; 1970-11-29
Worms; Allister Brimble; 1970-11-29
Subwar 2050; Allister Brimble; 1970-11-29
The Lion King; Allister Brimble; 1970-11-29
Descent; Allister Brimble; 1970-11-29
Asterix & Obelix; Allister Brimble; 1970-11-29
Screamer; Allister Brimble; 1970-11-29
ATR: All Terrain Racing; Allister Brimble; 1970-11-29
Kingpin; Allister Brimble; 1970-11-29
Sid Meier's Colonization; Allister Brimble; 1970-11-29
Boo!; Allister Brimble; 1970-11-29
Apache Gunship; Allister Brimble; 1970-11-29
Super Loopz; Allister Brimble; 1970-11-29
Road Runner; Allister Brimble; 1970-11-29
X-COM: Enemy Unknown; Allister Brimble; 1970-11-29
Star Trek: 25th Anniversary; Allister Brimble; 1970-11-29
Sensible Golf; Allister Brimble; 1970-11-29
The Incredible Crash Dummies; Allister Brimble; 1970-11-29
Dragon: The Bruce Lee Story; Allister Brimble; 1970-11-29
Cannon Fodder; Allister Brimble; 1970-11-29
Street Racer; Allister Brimble; 1970-11-29
Alien Breed: Tower Assault; Allister Brimble; 1970-11-29
Arcade Pool; Allister Brimble; 1970-11-29
Ultimate Body Blows; Allister Brimble; 1970-11-29
Mr Tuff; Allister Brimble; 1970-11-29
Tinhead; Allister Brimble; 1970-11-29
Zeewolf; Allister Brimble; 1970-11-29
World Cup Striker; Allister Brimble; 1970-11-29
Impossible Mission 2025; Allister Brimble; 1970-11-29
Bubble and Squeak; Allister Brimble; 1970-11-29
World Cup Striker (Japan); Allister Brimble; 1970-11-29
Mortal Kombat II; Allister Brimble; 1970-11-29
Dungeon Master II: The Legend of Skullkeep; Allister Brimble; 1970-11-29
Dino Dini's Goal; Allister Brimble; 1970-11-29
Noddy; Allister Brimble; 1970-11-29
Alien Breed II: The Horror Continues; Allister Brimble; 1970-11-29
Body Blows Galactic; Allister Brimble; 1970-11-29
Overdrive; Allister Brimble; 1970-11-29
The Lawnmower Man; Allister Brimble; 1970-11-29
Slicks; Allister Brimble; 1970-11-29
Seymour Goes To Hollywood; Allister Brimble; 1970-11-29
Sergeant Seymour Robocop; Allister Brimble; 1970-11-29
Superfrog; Allister Brimble; 1970-11-29
Aladdin; Allister Brimble; 1970-11-29
Mortal Kombat; Allister Brimble; 1970-11-29
Body Blows; Allister Brimble; 1970-11-29
Project-X; Allister Brimble; 1970-11-29
Assassin; Allister Brimble; 1970-11-29
Indy Heat; Allister Brimble; 1970-11-29
Dojo Dan; Allister Brimble; 1970-11-29
Rampart; Allister Brimble; 1970-11-29
Murray Mouse; Allister Brimble; 1970-11-29
Big Run; Allister Brimble; 1970-11-29
Linus Spacehead; Allister Brimble; 1970-11-29
Pro Baseball Simulator; Allister Brimble; 1970-11-29
Big Nose Freaks Out; Allister Brimble; 1970-11-29
Captain Dynamo; Allister Brimble; 1970-11-29
Robin Hood Legend Quest; Allister Brimble; 1970-11-29
Super Seymour; Allister Brimble; 1970-11-29
Wild West Seymour; Allister Brimble; 1970-11-29
Tom & Jerry; Allister Brimble; 1970-11-29
The Lost Vikings; Allister Brimble; 1970-11-29
Slightly Magic; Allister Brimble; 1970-11-29
Dizzy Prince of the Yolkfolk; Allister Brimble; 1970-11-29
Dizzy Down the Rapids; Allister Brimble; 1970-11-29
Spellbound Dizzy; Allister Brimble; 1970-11-29
Full Contact; Allister Brimble; 1970-11-29
Spacegun; Allister Brimble; 1970-11-29
Pro Soccer Simulator; Allister Brimble; 1970-11-29
Kamikaze; Allister Brimble; 1970-11-29
Super Seymour; Allister Brimble; 1970-11-29
Road Riot; Allister Brimble; 1970-11-29
1st Division Manager; Allister Brimble; 1970-11-29
Tilt; Allister Brimble; 1970-11-29
CJ In The USA; Allister Brimble; 1970-11-29
Big Nose the Caveman; Allister Brimble; 1970-11-29
CJ's Elephant Antics; Allister Brimble; 1970-11-29
Terminator 2; Allister Brimble; 1970-11-29
Jimmy White's 'Whirlwind' Snooker; Allister Brimble; 1970-11-29
Alien Breed; Allister Brimble; 1970-11-29
The Hunt for Red October; Allister Brimble; 1970-11-29
Dizzy Panic!; Allister Brimble; 1970-11-29
Plexu; Allister Brimble; 1970-11-29
Wonderland; Allister Brimble; 1970-11-29
AMOS; Allister Brimble; 1970-11-29
Liverpool; Allister Brimble; 1970-11-29
Boomerang Kid; Allister Brimble; 1970-11-29
Mean Machines; Allister Brimble; 1970-11-29
The Sword And The Rose; Allister Brimble; 1970-11-29
Italia 1990; Allister Brimble; 1970-11-29
Grand Prix Simulator; Allister Brimble; 1970-11-29
MiG-29: Soviet Fighter; Allister Brimble; 1970-11-29
Whacky Darts; Allister Brimble; 1970-11-29
Terries Big Day Out; Allister Brimble; 1970-11-29
Time Soldiers; Allister Brimble; 1970-11-29
Fantasy World Dizzy; Allister Brimble; 1970-11-29
Treasure Island Dizzy; Allister Brimble; 1970-11-29
Nitro Boost Challenge; Allister Brimble; 1970-11-29
Miami Chase; Allister Brimble; 1970-11-29
Death Stalker; Allister Brimble; 1970-11-29
By Fair Means or Foul; Allister Brimble; 1970-11-29
Spellfire the Sorcerer (Wizard Willy); Allister Brimble; 1970-11-29
Rock Star Ate My Hamster; Allister Brimble; 1970-11-29
Fastfood Dizzy; Allister Brimble; 1970-11-29
Thunderbirds; Allister Brimble; 1970-11-29
Daimakaimura; Alph Lyla; n/a
Strider; Alph Lyla; n/a
Final Fight; Alph Lyla; n/a
Street Fighter II; Alph Lyla; n/a
Captain Commando; Alph Lyla; n/a
Varth: Operation Thunderstorm; Alph Lyla; n/a
Tenchi wo Kurau II: The Battle of Chi Bi; Alph Lyla; n/a
Rockman X with Toshiaki Ohtsubo; Alph Lyla; n/a
Street Fighter II Alph-Lyla with Yuji Toriyama; Alph Lyla; n/a
1942; Alph Lyla; n/a
Ace Attorney; Alph Lyla; n/a
Bionic Commando; Alph Lyla; n/a
Breath of Fire; Alph Lyla; n/a
Buster Bros.; Alph Lyla; n/a
Commando; Alph Lyla; n/a
Darkstalkers; Alph Lyla; n/a
Dark Void; Alph Lyla; n/a
Dead Rising; Alph Lyla; n/a
Devil May Cry; Alph Lyla; n/a
Dino Crisis; Alph Lyla; n/a
Dragon's Dogma; Alph Lyla; n/a
Final Fight; Alph Lyla; n/a
Gaist Crusher; Alph Lyla; n/a
Ghosts 'n Goblins; Alph Lyla; n/a
Lost Planet; Alph Lyla; n/a
Mega Man; Alph Lyla; n/a
Monster Hunter; Alph Lyla; n/a
Ōkami; Alph Lyla; n/a
Onimusha; Alph Lyla; n/a
Power Stone; Alph Lyla; n/a
Resident Evil; Alph Lyla; n/a
Rival Schools; Alph Lyla; n/a
Sengoku Basara; Alph Lyla; n/a
SonSon; Alph Lyla; n/a
Star Gladiator; Alph Lyla; n/a
Steel Battalion; Alph Lyla; n/a
Street Fighter; Alph Lyla; n/a
Strider; Alph Lyla; n/a
Versus; Alph Lyla; n/a
Viewtiful Joe; Alph Lyla; n/a
Babylon 5; Amiga; n/a
SeaQuest DSV; Amiga; n/a
Max Headroom; Amiga; n/a
You Are the One; Amiga; n/a
"The thing I like most about doing this kind of work on the Amiga is that it looks like my work in other media"; Amiga; n/a
UHF; Amiga; n/a
Rolf's Cartoon Club; Amiga; n/a
I Created Disco; Amiga; n/a
Total Devo; Amiga; n/a
Ars Technica; Amiga; n/a
Amazing Computing; Amiga; n/a
Amiga Action; Amiga; n/a
Amiga Active; Amiga; n/a
Amiga Computing; Amiga; n/a
Amiga Format; Amiga; n/a
Amiga Force; Amiga; n/a
Amiga Power; Amiga; n/a
Amiga Survivor; Amiga; n/a
Amiga User International; Amiga; n/a
Amiga World; Amiga; n/a
C-lehti; Amiga; n/a
Computer Shopper; Amiga; n/a
CU Amiga; Amiga; n/a
Grapevine; Amiga; n/a
.info; Amiga; n/a
Miggybyte; Amiga; n/a
The One; Amiga; n/a
ST/Amiga Format; Amiga; n/a
Aqua Teen Hunger Force Zombie Ninja Pro-Am; Andrew Sega; 1975-05-20
Enigma; Andrew Sega; 1975-05-20
Freelancer; Andrew Sega; 1975-05-20
Conquest: Frontier Wars; Andrew Sega; 1975-05-20
Unreal Tournament; Andrew Sega; 1975-05-20
Jazz Jackrabbit 3; Andrew Sega; 1975-05-20
Unreal; Andrew Sega; 1975-05-20
Wing Commander: Prophecy; Andrew Sega; 1975-05-20
Crusader: No Regret; Andrew Sega; 1975-05-20
Crusader: No Remorse; Andrew Sega; 1975-05-20
In Pursuit of Greed; Andrew Sega; 1975-05-20
Xixit; Andrew Sega; 1975-05-20
Ironseed; Andrew Sega; 1975-05-20
Digital Psychosis; Andrew Sega; 1975-05-20
Progression; Andrew Sega; 1975-05-20
System; Andrew Sega; 1975-05-20
Cipher; Andrew Sega; 1975-05-20
Forward Rewinding; Andrew Sega; 1975-05-20
Aura; Andrew Sega; 1975-05-20
Awakening; Andrew Sega; 1975-05-20
Reconnect; Andrew Sega; 1975-05-20
Wrath; Andrew Sega; 1975-05-20
Disconnect 2.0; Andrew Sega; 1975-05-20
Hydra; Andrew Sega; 1975-05-20
Blacklight; Andrew Sega; 1975-05-20
Radiant; Andrew Sega; 1975-05-20
Six; Andrew Sega; 1975-05-20
The West Town; Andrew Sega; 1975-05-20
Obelus; Andrew Sega; 1975-05-20
Disconnect; Andrew Sega; 1975-05-20
Awakening; Andrew Sega; 1975-05-20
Wrath; Andrew Sega; 1975-05-20
Blacklight; Andrew Sega; 1975-05-20
Radiant; Andrew Sega; 1975-05-20
Six; Andrew Sega; 1975-05-20
