Soundtrack;Composer;Composer Birthday
Doraemon 2: Sos! Otogi No Kuni;Akihiko Mori;n/a
Pro Wrestling Sengokuden;Akihiko Mori;n/a
Pro Wrestling Sengokuden 2;Akihiko Mori;n/a
Silent Hill;Akira Yamaoka;1968-02-06
Silent Hill 2;Akira Yamaoka;1968-02-06
Silent Hill 3;Akira Yamaoka;1968-02-06
Silent Hill 4: The Room;Akira Yamaoka;1968-02-06
Origins;Akira Yamaoka;1968-02-06
Homecoming;Akira Yamaoka;1968-02-06
Shattered Memories;Akira Yamaoka;1968-02-06
Downpour;Akira Yamaoka;1968-02-06
The Arcade;Akira Yamaoka;1968-02-06
Orphan;Akira Yamaoka;1968-02-06
The Escape;Akira Yamaoka;1968-02-06
Hd Collection;Akira Yamaoka;1968-02-06
Book Of Memories;Akira Yamaoka;1968-02-06
P.T.;Akira Yamaoka;1968-02-06
Silent Hills;Akira Yamaoka;1968-02-06
Silent Hill: Revelation;Akira Yamaoka;1968-02-06
Kan'okejima;Aki Hata;1966-08-13
Sekai Nante Owarinasai;Aki Hata;1966-08-13
Roman Tsukira No Musumetachi;Aki Hata;1966-08-13
Reizoku Kaibi No Musumetachi;Aki Hata;1966-08-13
Aisuru Hito Yo Shinjitsu Wa Chikawazu Ni Iyou;Aki Hata;1966-08-13
Bitsuu No Rakuen;Aki Hata;1966-08-13
Yokan No Tenshi Wo Dakishimete;Aki Hata;1966-08-13
Bannou Ni Tagiru Ikasama;Aki Hata;1966-08-13
Dangai No Unuboreya;Aki Hata;1966-08-13
Haikin Seija Waga Machi O Susuman;Aki Hata;1966-08-13
Kobore Sekai Oware;Aki Hata;1966-08-13
Gen Wa Jubaku No Yubi De Naru;Aki Hata;1966-08-13
Tohi Oukoku No Metsubo;Aki Hata;1966-08-13
Tohi Oukoku No Densetsu;Aki Hata;1966-08-13
Love Live!;Aki Hata;1966-08-13
The School Idol Movie;Aki Hata;1966-08-13
Love Live! Sunshine!!;Aki Hata;1966-08-13
Love Live! Sunshine!! The School Idol Movie Over The Rainbow;Aki Hata;1966-08-13
Love Live! School Idol Festival;Aki Hata;1966-08-13
Atmospheres: Cultures;Alexander Brandon;1974-09-29
Atmospheres: Dreams;Alexander Brandon;1974-09-29
Atmospheres: Moods;Alexander Brandon;1974-09-29
Atmospheres: Pulses;Alexander Brandon;1974-09-29
Atmospheres: Rhythms;Alexander Brandon;1974-09-29
Era's End;Alexander Brandon;1974-09-29
Earthscape;Alexander Brandon;1974-09-29
Violet Eclectic;Alexander Brandon;1974-09-29
Just Fun;Alexander Brandon;1974-09-29
Tyrian;Alexander Brandon;1974-09-29
Tyrian 2000;Alexander Brandon;1974-09-29
Jazz Jackrabbit 2;Alexander Brandon;1974-09-29
Jazz Jackrabbit 2: The Secret Files;Alexander Brandon;1974-09-29
Jazz Jackrabbit 2: Holiday Hare 98;Alexander Brandon;1974-09-29
Jazz Jackrabbit 2: The Christmas Chronicles;Alexander Brandon;1974-09-29
Jazz Jackrabbit 3;Alexander Brandon;1974-09-29
Extreme Pinball;Alexander Brandon;1974-09-29
Unreal;Alexander Brandon;1974-09-29
Unreal Mission Pack: Return To Na Pali;Alexander Brandon;1974-09-29
Unreal Tournament;Alexander Brandon;1974-09-29
Vigilante 8;Alexander Brandon;1974-09-29
Vigilante 8: 2nd Offense;Alexander Brandon;1974-09-29
Dark Vengeance;Alexander Brandon;1974-09-29
Pretzel Pete;Alexander Brandon;1974-09-29
Narc;Alexander Brandon;1974-09-29
Deus Ex;Alexander Brandon;1974-09-29
Deus Ex: Invisible War;Alexander Brandon;1974-09-29
Thief: Deadly Shadows;Alexander Brandon;1974-09-29
Activision Anthology;Alexander Brandon;1974-09-29
Unreal 2;Alexander Brandon;1974-09-29
Battlestar Galactica;Alexander Brandon;1974-09-29
Gauntlet: Seven Sorrows;Alexander Brandon;1974-09-29
Spy Hunter: Nowhere To Run;Alexander Brandon;1974-09-29
Hour Of Victory;Alexander Brandon;1974-09-29
Touchmaster;Alexander Brandon;1974-09-29
Rampage;Alexander Brandon;1974-09-29
Happy Feet;Alexander Brandon;1974-09-29
The Ant Bully;Alexander Brandon;1974-09-29
Marvel Ultimate Alliance;Alexander Brandon;1974-09-29
Neverwinter Nights 2: Mask Of The Betrayer;Alexander Brandon;1974-09-29
Neverwinter Nights 2: Storm Of Zehir;Alexander Brandon;1974-09-29
Alpha Protocol;Alexander Brandon;1974-09-29
Isamjackson;Alexander Brandon;1974-09-29
Aliens: Colonial Marines;Alexander Brandon;1974-09-29
Bejeweled 3;Alexander Brandon;1974-09-29
Dc Universe Online;Alexander Brandon;1974-09-29
The Elder Scrolls V: Skyrim;Alexander Brandon;1974-09-29
Dust: An Elysian Tail;Alexander Brandon;1974-09-29
Unreal Tournament;Alexander Brandon;1974-09-29
Voidrunner;Alexander Brandon;1974-09-29
Wasteland 2;Alexander Brandon;1974-09-29
Five: Guardians Of David;Alexander Brandon;1974-09-29
Torment: Tides Of Numenera;Alexander Brandon;1974-09-29
Aven Colony;Alexander Brandon;1974-09-29
Donkey Kong Country: Tropical Freeze;Alexander Brandon;1974-09-29
Untitled;Alexander Brandon;1974-09-29
Retro Studios;Alexander Brandon;1974-09-29
Title;Alexander Brandon;1974-09-29
Unreal;Alexander Brandon;1974-09-29
Ii: The Awakening;Alexander Brandon;1974-09-29
Tournament;Alexander Brandon;1974-09-29
Tournament 2003;Alexander Brandon;1974-09-29
Tournament 2004;Alexander Brandon;1974-09-29
Tournament 3;Alexander Brandon;1974-09-29
Tournament;Alexander Brandon;1974-09-29
Championship;Alexander Brandon;1974-09-29
Championship 2: The Liandri Conflict;Alexander Brandon;1974-09-29
Destiny;Alex Seropian;n/a
The Taken King;Alex Seropian;n/a
Rise Of Iron;Alex Seropian;n/a
Destiny 2;Alex Seropian;n/a
Forsaken;Alex Seropian;n/a
Shadowkeep;Alex Seropian;n/a
Halo: Combat Evolved;Alex Seropian;n/a
Halo 2;Alex Seropian;n/a
Halo 3;Alex Seropian;n/a
Halo 3: Odst;Alex Seropian;n/a
Halo: Reach;Alex Seropian;n/a
Marathon;Alex Seropian;n/a
Marathon 2: Durandal;Alex Seropian;n/a
Marathon Infinity;Alex Seropian;n/a
Myth: The Fallen Lords;Alex Seropian;n/a
Myth Ii: Soulblighter;Alex Seropian;n/a
Operation: Desert Storm;Alex Seropian;n/a
Minotaur: The Labyrinths Of Crete;Alex Seropian;n/a
Pathways Into Darkness;Alex Seropian;n/a
Abuse;Alex Seropian;n/a
Oni;Alex Seropian;n/a
Overload;Allister Brimble;1970-11-29
Transport Fever;Allister Brimble;1970-11-29
Cartoon Network: Battle Crashers;Allister Brimble;1970-11-29
Prison Architect;Allister Brimble;1970-11-29
The Smurfs;Allister Brimble;1970-11-29
The Smurfs;Allister Brimble;1970-11-29
Goat Simulator;Allister Brimble;1970-11-29
Frozen Synapse Prime;Allister Brimble;1970-11-29
Train Fever;Allister Brimble;1970-11-29
Teenage Mutant Ninja Turtles;Allister Brimble;1970-11-29
Bratz Fashion Boutique;Allister Brimble;1970-11-29
Katsuma Unleashed;Allister Brimble;1970-11-29
Pro Foosball;Allister Brimble;1970-11-29
Fluidity: Spin Cycle;Allister Brimble;1970-11-29
Moshi Monsters: Moshlings Theme Park;Allister Brimble;1970-11-29
Imagine Fashion World 3d;Allister Brimble;1970-11-29
Bejeweled 3;Allister Brimble;1970-11-29
Tofu Collection;Allister Brimble;1970-11-29
Lets Ride! Best In Breed 3d;Allister Brimble;1970-11-29
Pets Paradise Resort 3d;Allister Brimble;1970-11-29
Gogo's Crazy Bones;Allister Brimble;1970-11-29
Dagedar;Allister Brimble;1970-11-29
Harry Potter And The Deathly Hallows - Part 2;Allister Brimble;1970-11-29
Einstein's Brain Power;Allister Brimble;1970-11-29
Hop;Allister Brimble;1970-11-29
Fluidity;Allister Brimble;1970-11-29
Steamworld Tower Defense;Allister Brimble;1970-11-29
Sonic & Sega All-stars Racing;Allister Brimble;1970-11-29
Bakugan Battle Trainer;Allister Brimble;1970-11-29
Disney's A Christmas Carol For Nintendo Ds;Allister Brimble;1970-11-29
I`m A Celebrity...Get Me Out Of Here!;Allister Brimble;1970-11-29
Planet 51;Allister Brimble;1970-11-29
Petz Pony Beauty Pageant;Allister Brimble;1970-11-29
Take A Break`s: Puzzle Master;Allister Brimble;1970-11-29
Overlord: Minions;Allister Brimble;1970-11-29
Need For Speed: Undercover;Allister Brimble;1970-11-29
My Pet Pony;Allister Brimble;1970-11-29
1 Vs. 100;Allister Brimble;1970-11-29
Mes Gallops 3d;Allister Brimble;1970-11-29
Lets Play Mum;Allister Brimble;1970-11-29
Lets Play Shops;Allister Brimble;1970-11-29
Lets Play Schools;Allister Brimble;1970-11-29
Football Director Ds;Allister Brimble;1970-11-29
Puzzler Collection;Allister Brimble;1970-11-29
My Horse & Me 2;Allister Brimble;1970-11-29
Trackmania Turbo (ds);Allister Brimble;1970-11-29
Race Driver: Grid;Allister Brimble;1970-11-29
Fort Boyard. Le Jeu;Allister Brimble;1970-11-29
Koh-lanta;Allister Brimble;1970-11-29
New International Track & Field;Allister Brimble;1970-11-29
Arctic Tale;Allister Brimble;1970-11-29
Deviens Miss France;Allister Brimble;1970-11-29
Code De La Route Edition 2008;Allister Brimble;1970-11-29
Best Of Card Games;Allister Brimble;1970-11-29
Best Of Board Games;Allister Brimble;1970-11-29
Backyard Hockey;Allister Brimble;1970-11-29
Backyard Basketball 2007;Allister Brimble;1970-11-29
Backyard Baseball;Allister Brimble;1970-11-29
Clive Barker's Jericho;Allister Brimble;1970-11-29
My Horse & Me;Allister Brimble;1970-11-29
Kid Paddle: Blorks Invasion;Allister Brimble;1970-11-29
Asterix At The Olympic Games;Allister Brimble;1970-11-29
Di-gata Defenders;Allister Brimble;1970-11-29
Dead 'n' Furious;Allister Brimble;1970-11-29
Arthur And The Invisibles;Allister Brimble;1970-11-29
Deal Or No Deal;Allister Brimble;1970-11-29
Alex Rider: Stormbreaker;Allister Brimble;1970-11-29
Garfield And His Nine Lives;Allister Brimble;1970-11-29
Xiaolin Showdown;Allister Brimble;1970-11-29
Micro Machines V4;Allister Brimble;1970-11-29
Dance Factory;Allister Brimble;1970-11-29
Totally Spies! 2: Undercover;Allister Brimble;1970-11-29
Family Feud;Allister Brimble;1970-11-29
Go! Sudoku;Allister Brimble;1970-11-29
Asterix & Obelix Xxl 2: Mission: Las Vegum;Allister Brimble;1970-11-29
Bionicle: Maze Of Shadows;Allister Brimble;1970-11-29
Noddy A Day In Toyland;Allister Brimble;1970-11-29
Duel Masters - Shadow Of The Code;Allister Brimble;1970-11-29
Retro Atari Classics;Allister Brimble;1970-11-29
Kid Paddle;Allister Brimble;1970-11-29
Titeuf Mission Nadia;Allister Brimble;1970-11-29
Totally Spies!;Allister Brimble;1970-11-29
Driver 3;Allister Brimble;1970-11-29
Backyard Basketball 2;Allister Brimble;1970-11-29
Alien Hominid;Allister Brimble;1970-11-29
Lego Knights' Kingdom;Allister Brimble;1970-11-29
Hot Wheels: Stunt Track Challenge;Allister Brimble;1970-11-29
Need For Speed: Underground 2;Allister Brimble;1970-11-29
Chris Sawyer's Locomotion;Allister Brimble;1970-11-29
Titeuf 2;Allister Brimble;1970-11-29
Duel Masters: Sempai Legends;Allister Brimble;1970-11-29
Duel Masters: Kaijudo Showdown;Allister Brimble;1970-11-29
Mucha Lucha!;Allister Brimble;1970-11-29
Sega Arcade Gallery;Allister Brimble;1970-11-29
Terminator 3: Rise Of The Machines;Allister Brimble;1970-11-29
Stuntman;Allister Brimble;1970-11-29
Medal Of Honor: Infiltrator;Allister Brimble;1970-11-29
Star Wars: Flight Of The Falcon;Allister Brimble;1970-11-29
Pirates Of The Caribbean;Allister Brimble;1970-11-29
Dr. Muto;Allister Brimble;1970-11-29
World Touring Car Rally;Allister Brimble;1970-11-29
Need For Speed: Underground;Allister Brimble;1970-11-29
He-man: Power Of Grayskull;Allister Brimble;1970-11-29
Steven Gerrard's Total Soccer;Allister Brimble;1970-11-29
Star Wars: Episode Ii - Attack Of The Clones;Allister Brimble;1970-11-29
Fohlen Felix In Gefahr;Allister Brimble;1970-11-29
Egg Mania: Eggstreme Madness;Allister Brimble;1970-11-29
V-rally 3;Allister Brimble;1970-11-29
Rollercoaster Tycoon 2;Allister Brimble;1970-11-29
Xxx;Allister Brimble;1970-11-29
Colin Mcrae Rally 2.0;Allister Brimble;1970-11-29
High Heat Major League Baseball 2002;Allister Brimble;1970-11-29
Mr. Nutz;Allister Brimble;1970-11-29
Robocop;Allister Brimble;1970-11-29
Planet Monsters;Allister Brimble;1970-11-29
Gremlins;Allister Brimble;1970-11-29
Star Wars Episode I: Jedi Power Battles;Allister Brimble;1970-11-29
Doom;Allister Brimble;1970-11-29
The Italian Job;Allister Brimble;1970-11-29
Superman;Allister Brimble;1970-11-29
Titeuf;Allister Brimble;1970-11-29
Colin Mcrae Rally;Allister Brimble;1970-11-29
Hot Potato;Allister Brimble;1970-11-29
Tony Hawk's Pro Skater 3;Allister Brimble;1970-11-29
Mat Hoffman's Pro Bmx;Allister Brimble;1970-11-29
Extreme Ghostbusters;Allister Brimble;1970-11-29
102 Dalmatians: Puppies To The Rescue;Allister Brimble;1970-11-29
007 Racing;Allister Brimble;1970-11-29
Chicken Run;Allister Brimble;1970-11-29
The Dukes Of Hazzard;Allister Brimble;1970-11-29
Cool Bricks;Allister Brimble;1970-11-29
Toobin';Allister Brimble;1970-11-29
Hydrosport Racing;Allister Brimble;1970-11-29
Driver 2;Allister Brimble;1970-11-29
The Flintstones: Burgertime In Bedrock;Allister Brimble;1970-11-29
Road Rash;Allister Brimble;1970-11-29
Olympics 2000;Allister Brimble;1970-11-29
Jimmy White's 2: Cueball;Allister Brimble;1970-11-29
Carmageddon;Allister Brimble;1970-11-29
Renegade Racers;Allister Brimble;1970-11-29
Lucky Luke;Allister Brimble;1970-11-29
Rat Attack!;Allister Brimble;1970-11-29
Casper;Allister Brimble;1970-11-29
Driver;Allister Brimble;1970-11-29
Rollercoaster Tycoon;Allister Brimble;1970-11-29
Magical Drop;Allister Brimble;1970-11-29
Abomination: The Nemesis Project;Allister Brimble;1970-11-29
Cutthroats: Terror On The High Seas;Allister Brimble;1970-11-29
Gangsters: Organized Crime;Allister Brimble;1970-11-29
Ghosts 'n Goblins;Allister Brimble;1970-11-29
Three Lions;Allister Brimble;1970-11-29
Glover;Allister Brimble;1970-11-29
Bubble Bubble 2;Allister Brimble;1970-11-29
Monster Trucks;Allister Brimble;1970-11-29
Toy Story;Allister Brimble;1970-11-29
Descent Ii;Allister Brimble;1970-11-29
Wrath Of Earth;Allister Brimble;1970-11-29
Grand Prix Manager 2;Allister Brimble;1970-11-29
X-com: Terror From The Deep;Allister Brimble;1970-11-29
Crazy Bus;Allister Brimble;1970-11-29
Zeewolf 2: Wild Justice;Allister Brimble;1970-11-29
Pinocchio;Allister Brimble;1970-11-29
Worms;Allister Brimble;1970-11-29
Subwar 2050;Allister Brimble;1970-11-29
The Lion King;Allister Brimble;1970-11-29
Descent;Allister Brimble;1970-11-29
Asterix & Obelix;Allister Brimble;1970-11-29
Screamer;Allister Brimble;1970-11-29
Atr: All Terrain Racing;Allister Brimble;1970-11-29
Kingpin;Allister Brimble;1970-11-29
Sid Meier's Colonization;Allister Brimble;1970-11-29
Boo!;Allister Brimble;1970-11-29
Apache Gunship;Allister Brimble;1970-11-29
Super Loopz;Allister Brimble;1970-11-29
Road Runner;Allister Brimble;1970-11-29
X-com: Enemy Unknown;Allister Brimble;1970-11-29
Star Trek: 25th Anniversary;Allister Brimble;1970-11-29
Sensible Golf;Allister Brimble;1970-11-29
The Incredible Crash Dummies;Allister Brimble;1970-11-29
Dragon: The Bruce Lee Story;Allister Brimble;1970-11-29
Cannon Fodder;Allister Brimble;1970-11-29
Street Racer;Allister Brimble;1970-11-29
Alien Breed: Tower Assault;Allister Brimble;1970-11-29
Arcade Pool;Allister Brimble;1970-11-29
Ultimate Body Blows;Allister Brimble;1970-11-29
Mr Tuff;Allister Brimble;1970-11-29
Tinhead;Allister Brimble;1970-11-29
Zeewolf;Allister Brimble;1970-11-29
World Cup Striker;Allister Brimble;1970-11-29
Impossible Mission 2025;Allister Brimble;1970-11-29
Bubble And Squeak;Allister Brimble;1970-11-29
World Cup Striker (japan);Allister Brimble;1970-11-29
Mortal Kombat Ii;Allister Brimble;1970-11-29
Dungeon Master Ii: The Legend Of Skullkeep;Allister Brimble;1970-11-29
Dino Dini's Goal;Allister Brimble;1970-11-29
Noddy;Allister Brimble;1970-11-29
Alien Breed Ii: The Horror Continues;Allister Brimble;1970-11-29
Body Blows Galactic;Allister Brimble;1970-11-29
Overdrive;Allister Brimble;1970-11-29
The Lawnmower Man;Allister Brimble;1970-11-29
Slicks;Allister Brimble;1970-11-29
Seymour Goes To Hollywood;Allister Brimble;1970-11-29
Sergeant Seymour Robocop;Allister Brimble;1970-11-29
Superfrog;Allister Brimble;1970-11-29
Aladdin;Allister Brimble;1970-11-29
Mortal Kombat;Allister Brimble;1970-11-29
Body Blows;Allister Brimble;1970-11-29
Project-x;Allister Brimble;1970-11-29
Assassin;Allister Brimble;1970-11-29
Indy Heat;Allister Brimble;1970-11-29
Dojo Dan;Allister Brimble;1970-11-29
Rampart;Allister Brimble;1970-11-29
Murray Mouse;Allister Brimble;1970-11-29
Big Run;Allister Brimble;1970-11-29
Linus Spacehead;Allister Brimble;1970-11-29
Pro Baseball Simulator;Allister Brimble;1970-11-29
Big Nose Freaks Out;Allister Brimble;1970-11-29
Captain Dynamo;Allister Brimble;1970-11-29
Robin Hood Legend Quest;Allister Brimble;1970-11-29
Super Seymour;Allister Brimble;1970-11-29
Wild West Seymour;Allister Brimble;1970-11-29
Tom & Jerry;Allister Brimble;1970-11-29
The Lost Vikings;Allister Brimble;1970-11-29
Slightly Magic;Allister Brimble;1970-11-29
Dizzy Prince Of The Yolkfolk;Allister Brimble;1970-11-29
Dizzy Down The Rapids;Allister Brimble;1970-11-29
Spellbound Dizzy;Allister Brimble;1970-11-29
Full Contact;Allister Brimble;1970-11-29
Spacegun;Allister Brimble;1970-11-29
Pro Soccer Simulator;Allister Brimble;1970-11-29
Kamikaze;Allister Brimble;1970-11-29
Super Seymour;Allister Brimble;1970-11-29
Road Riot;Allister Brimble;1970-11-29
1st Division Manager;Allister Brimble;1970-11-29
Tilt;Allister Brimble;1970-11-29
Cj In The Usa;Allister Brimble;1970-11-29
Big Nose The Caveman;Allister Brimble;1970-11-29
Cj's Elephant Antics;Allister Brimble;1970-11-29
Terminator 2;Allister Brimble;1970-11-29
Jimmy White's 'whirlwind' Snooker;Allister Brimble;1970-11-29
Alien Breed;Allister Brimble;1970-11-29
The Hunt For Red October;Allister Brimble;1970-11-29
Dizzy Panic!;Allister Brimble;1970-11-29
Plexu;Allister Brimble;1970-11-29
Wonderland;Allister Brimble;1970-11-29
Amos;Allister Brimble;1970-11-29
Liverpool;Allister Brimble;1970-11-29
Boomerang Kid;Allister Brimble;1970-11-29
Mean Machines;Allister Brimble;1970-11-29
The Sword And The Rose;Allister Brimble;1970-11-29
Italia 1990;Allister Brimble;1970-11-29
Grand Prix Simulator;Allister Brimble;1970-11-29
Mig-29: Soviet Fighter;Allister Brimble;1970-11-29
Whacky Darts;Allister Brimble;1970-11-29
Terries Big Day Out;Allister Brimble;1970-11-29
Time Soldiers;Allister Brimble;1970-11-29
Fantasy World Dizzy;Allister Brimble;1970-11-29
Treasure Island Dizzy;Allister Brimble;1970-11-29
Nitro Boost Challenge;Allister Brimble;1970-11-29
Miami Chase;Allister Brimble;1970-11-29
Death Stalker;Allister Brimble;1970-11-29
By Fair Means Or Foul;Allister Brimble;1970-11-29
Spellfire The Sorcerer (wizard Willy);Allister Brimble;1970-11-29
Rock Star Ate My Hamster;Allister Brimble;1970-11-29
Fastfood Dizzy;Allister Brimble;1970-11-29
Thunderbirds;Allister Brimble;1970-11-29
Daimakaimura;Alph Lyla;n/a
Strider;Alph Lyla;n/a
Final Fight;Alph Lyla;n/a
Street Fighter Ii;Alph Lyla;n/a
Captain Commando;Alph Lyla;n/a
Varth: Operation Thunderstorm;Alph Lyla;n/a
Tenchi Wo Kurau Ii: The Battle Of Chi Bi;Alph Lyla;n/a
Rockman X With Toshiaki Ohtsubo;Alph Lyla;n/a
Street Fighter Ii Alph-lyla With Yuji Toriyama;Alph Lyla;n/a
1942;Alph Lyla;n/a
Ace Attorney;Alph Lyla;n/a
Bionic Commando;Alph Lyla;n/a
Breath Of Fire;Alph Lyla;n/a
Buster Bros.;Alph Lyla;n/a
Commando;Alph Lyla;n/a
Darkstalkers;Alph Lyla;n/a
Dark Void;Alph Lyla;n/a
Dead Rising;Alph Lyla;n/a
Devil May Cry;Alph Lyla;n/a
Dino Crisis;Alph Lyla;n/a
Dragon's Dogma;Alph Lyla;n/a
Final Fight;Alph Lyla;n/a
Gaist Crusher;Alph Lyla;n/a
Ghosts 'n Goblins;Alph Lyla;n/a
Lost Planet;Alph Lyla;n/a
Mega Man;Alph Lyla;n/a
Monster Hunter;Alph Lyla;n/a
Okami;Alph Lyla;n/a
Onimusha;Alph Lyla;n/a
Power Stone;Alph Lyla;n/a
Resident Evil;Alph Lyla;n/a
Rival Schools;Alph Lyla;n/a
Sengoku Basara;Alph Lyla;n/a
Sonson;Alph Lyla;n/a
Star Gladiator;Alph Lyla;n/a
Steel Battalion;Alph Lyla;n/a
Street Fighter;Alph Lyla;n/a
Strider;Alph Lyla;n/a
Versus;Alph Lyla;n/a
Viewtiful Joe;Alph Lyla;n/a
Babylon 5;Amiga;n/a
Seaquest Dsv;Amiga;n/a
Max Headroom;Amiga;n/a
You Are The One;Amiga;n/a
Uhf;Amiga;n/a
Rolf's Cartoon Club;Amiga;n/a
I Created Disco;Amiga;n/a
Total Devo;Amiga;n/a
Ars Technica;Amiga;n/a
Amazing Computing;Amiga;n/a
Amiga Action;Amiga;n/a
Amiga Active;Amiga;n/a
Amiga Computing;Amiga;n/a
Amiga Format;Amiga;n/a
Amiga Force;Amiga;n/a
Amiga Power;Amiga;n/a
Amiga Survivor;Amiga;n/a
Amiga User International;Amiga;n/a
Amiga World;Amiga;n/a
C-lehti;Amiga;n/a
Computer Shopper;Amiga;n/a
Cu Amiga;Amiga;n/a
Grapevine;Amiga;n/a
Miggybyte;Amiga;n/a
The One;Amiga;n/a
St/amiga Format;Amiga;n/a
Aqua Teen Hunger Force Zombie Ninja Pro-am;Andrew Sega;1975-05-20
Enigma;Andrew Sega;1975-05-20
Freelancer;Andrew Sega;1975-05-20
Conquest: Frontier Wars;Andrew Sega;1975-05-20
Unreal Tournament;Andrew Sega;1975-05-20
Jazz Jackrabbit 3;Andrew Sega;1975-05-20
Unreal;Andrew Sega;1975-05-20
Wing Commander: Prophecy;Andrew Sega;1975-05-20
Crusader: No Regret;Andrew Sega;1975-05-20
Crusader: No Remorse;Andrew Sega;1975-05-20
In Pursuit Of Greed;Andrew Sega;1975-05-20
Xixit;Andrew Sega;1975-05-20
Ironseed;Andrew Sega;1975-05-20
Digital Psychosis;Andrew Sega;1975-05-20
Progression;Andrew Sega;1975-05-20
System;Andrew Sega;1975-05-20
Cipher;Andrew Sega;1975-05-20
Forward Rewinding;Andrew Sega;1975-05-20
Aura;Andrew Sega;1975-05-20
Awakening;Andrew Sega;1975-05-20
Reconnect;Andrew Sega;1975-05-20
Wrath;Andrew Sega;1975-05-20
Disconnect 2.0;Andrew Sega;1975-05-20
Hydra;Andrew Sega;1975-05-20
Blacklight;Andrew Sega;1975-05-20
Radiant;Andrew Sega;1975-05-20
Six;Andrew Sega;1975-05-20
The West Town;Andrew Sega;1975-05-20
Obelus;Andrew Sega;1975-05-20
Disconnect;Andrew Sega;1975-05-20
Awakening;Andrew Sega;1975-05-20
Wrath;Andrew Sega;1975-05-20
Blacklight;Andrew Sega;1975-05-20
Radiant;Andrew Sega;1975-05-20
Six;Andrew Sega;1975-05-20
Unreal;Andrew Sega;1975-05-20
Ii: The Awakening;Andrew Sega;1975-05-20
Tournament;Andrew Sega;1975-05-20
Tournament 2003;Andrew Sega;1975-05-20
Tournament 2004;Andrew Sega;1975-05-20
Tournament 3;Andrew Sega;1975-05-20
Tournament;Andrew Sega;1975-05-20
Championship;Andrew Sega;1975-05-20
Championship 2: The Liandri Conflict;Andrew Sega;1975-05-20
Twin Peaks;Angelo Badalamenti;1937-03-22
Note: User Search Required.;Angelo Badalamenti;1937-03-22
Starfight Vi: Gatekeepers;Ari Pulkkinen;1982-01-15
Shadowgrounds;Ari Pulkkinen;1982-01-15
Super Stardust Hd;Ari Pulkkinen;1982-01-15
Shadowgrounds: Survivor;Ari Pulkkinen;1982-01-15
Trine;Ari Pulkkinen;1982-01-15
Angry Birds;Ari Pulkkinen;1982-01-15
Dead Nation;Ari Pulkkinen;1982-01-15
Outland;Ari Pulkkinen;1982-01-15
Bike Baron;Ari Pulkkinen;1982-01-15
